serogroup	1_92_S1counts	25_92_S25counts	49_92_S49counts	73_92_S73counts	2_94_S2counts	26_94_S26counts	50_94_S50counts	74_94_S74counts	3_96_S3counts	27_96_S27counts	51_96_S51counts	75_96_S75counts	4_97_S4counts	28_97_S28counts	52_97_S52counts	76_97_S76counts	5_98_S5counts	29_98_S29counts	53_98_S53counts	77_98_S77counts	6_99_S6counts	30_99_S30counts	54_99_S54counts	78_99_S78counts	7_100_S7counts	31_100_S31counts	55_100_S55counts	79_100_S79counts	8_111_S8counts	32_111_S32counts	56_111_S56counts	80_111_S80counts	9_112_S9counts	33_112_S33counts	57_112_S57counts	81_112_S81counts	10_116_S10counts	34_116_S34counts	58_116_S58counts	82_116_S82counts	11_117_S11counts	35_117_S35counts	59_117_S59counts	83_117_S83counts	12_118_S12counts	36_118_S36counts	60_118_S60counts	84_118_S84counts	13_119_S13counts	37_119_S37counts	61_119_S61counts	85_119_S85counts	14_120_S14counts	38_120_S38counts	62_120_S62counts	86_120_S86counts	15_131_S15counts	39_131_S39counts	63_131_S63counts	87_131_S87counts	16_132_S16counts	40_132_S40counts	64_132_S64counts	88_132_S88counts	17_133_S17counts	41_133_S41counts	65_133_S65counts	89_133_S89counts	18_134_S18counts	42_134_S42counts	66_134_S66counts	90_134_S90counts	19_135_S19counts	43_135_S43counts	67_135_S67counts	91_135_S91counts	20_136_S20counts	44_136_S44counts	68_136_S68counts	92_136_S92counts	21_137_S21counts	45_137_S45counts	69_137_S69counts	93_137_S93counts	22_138_S22counts	46_138_S46counts	70_138_S70counts	94_138_S94counts	23_139_S23counts	47_139_S47counts	71_139_S71counts	95_139_S95counts	24_ctrl_S24counts	48_ctrl_S48counts	72_ctrl_S72counts	96_ctrl_S96counts
OND	9.466	8.46	10.966	8.243	0.081	0.175	0	0.386	4.817	3.947	1.345	0.763	1.168	1.334	1.302	1.852	0.506	1.307	1.182	2.326	5.5	5.429	6.931	3.86	0.512	0.443	0.308	0.602	20.803	19.301	16.652	24.844	4.359	4.107	0.343	0.416	16.148	10.815	55.2	42.897	0.288	0.603	0.659	0.777	15.997	12.854	21.752	50.052	7.461	9.58	9.682	12.061	11.531	11.693	2.776	0	13.35	10.321	11.849	30.804	24.19	17.866	5.26	4.189	0.518	0.354	0.511	1.78	0.691	0.431	0.153	0.252	48.084	56.814	38.673	58.607	9.676	14	5.149	3.643	18.888	18.123	10.541	13.012	3.161	2.744	1.297	2.045	0	0	0	0	0	0	0	0
O9B	71.561	71.844	53.054	47.294	0	0	0	0	0	0	0	0	0.042	0.044	0.26	0	0	0	0	0	0	0	0	0	0	0.04	0	0	1.419	4.537	0.402	0.678	0	0.042	0	0	0	0	0	0	0	0	0.094	0	10.845	16.086	1.984	1.241	0	0	0	0	0	0.028	0	0	0.341	0.705	0.592	0.446	2.177	3.261	0.457	0.168	2.432	3.044	0.383	0.162	0.12	0.101	0	0	0.108	0.349	0	0	6.532	10.783	0.832	1.1	1.192	0.687	0.326	0	0.778	0.936	0.039	0.146	0	0	0	0	0	0	0	0
O9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.038	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097	0.142	0	0.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28	1.236	0.373	0.241	0	0	0	0	7.673	11.801	5.547	3.333	0	0	0	0
O98	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271	0.202	0.587	0.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O91E	0	0.032	0.048	0	0	0	0	0	0	0	0	0	0.125	0.089	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0.112	0	0.052	0.315	0.126	0.076	0.104	0	0	0	0	0	0.075	0	0	0	0	0.173	0.103	0	0	0	0	0	0.028	0	0	0.553	0.865	0.395	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0.232	0.11	0.41	0.069	0.174	0.277	0.344	0.088	0	1.866	0.964	0.146	0.129	0.039	0	0	0.102	0	0	0	0	0	0
O91D	0	0.032	0	0.083	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0.112	0	0	0	0.042	0	0	0	0	0	0	0.048	0	0	0	1.518	2.061	0.811	0.207	0	0	0	0	0	0.028	0	0	0	0.032	0	0	2.177	2.363	0.915	1.173	0	0	0	0	0	0.025	0	0	0.036	0	0	0	1.106	1.159	2.574	1.375	0.044	0.046	0.14	0	0.243	0.355	0.079	0	0	0.102	0.15	0	0	0	0	0
O90A	4.996	6.19	5.387	12.072	0	0.175	0.08	1.931	0	0	0.041	0	9.558	22.995	2.604	27.778	0.778	1.403	0.295	0	0.083	0.081	0	0	18.393	21.427	17.59	91.565	2.146	3.978	1.563	3.079	3.468	5.114	0.724	0.675	0	0.024	0.029	0	48.847	52.282	32.013	61.931	5.747	7.355	6.002	4.446	0	0.057	0.116	0.251	6.429	8.634	0.449	0	13.948	17.115	9.283	5.804	4.885	5.056	13.321	15.243	2.99	2.582	0.894	1.294	68.667	62.38	16.725	78.145	1.446	1.511	1.105	0.82	7.259	10.029	4.872	6.666	6.178	6.317	11.941	12.53	23.639	23.183	9.464	4.748	1.361	1.729	0.15	0	0	0	0	0
O8D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.075	0	0.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746	1.687	0.049	0.032	0	0.146	0	0	0	0	0	0	0	0
O8A	0	0	0	0	0	0	0	0	0	0	0	0	1.377	1.824	0	1.852	0.039	0.032	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0.071	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0.432	0.452	0.565	0.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0.476	0	0	0	0
