"errors","impurity","triple"
2,0,"a"
0,0.032544378698225,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0.0109286318077526,"c"
0,0,"a"
2,0.10385219176428,"b"
0,0.0109286318077526,"c"
0,0,"a"
4,0.213802680835648,"b"
0,0.0109286318077526,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0,"c"
2,0,"a"
10,0.65505373747132,"b"
0,0,"c"
2,0,"a"
2,0.115022340297066,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0,"c"
0,0,"a"
1,0.0539186088636638,"b"
0,0.0109286318077526,"c"
0,0.0324236203357084,"a"
0,0.125830213742302,"b"
0,0.0324236203357084,"c"
0,0,"a"
0,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
0,0.084953508030431,"b"
5,0,"c"
1,0,"a"
1,0.154631083202512,"b"
6,0,"c"
0,0,"a"
0,0.388056997947108,"b"
0,0,"c"
0,0,"a"
0,0.649196956889265,"b"
6,0,"c"
0,0,"a"
0,0.021796884434247,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0,"c"
0,0,"a"
5,0.366622388600411,"b"
0,0.0217365052529888,"c"
2,0,"a"
3,0.517509962564908,"b"
0,0.0429899770559112,"c"
0,0,"a"
0,0.330394879845429,"b"
8,0,"c"
0,0,"a"
1,0.32610795797609,"b"
0,0,"c"
0,0,"a"
11,0.160367105422051,"b"
0,0.063760415408767,"c"
0,0,"a"
0,0.0431711145996861,"b"
0,0,"c"
0,0,"a"
2,0.0536770921386306,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0,"c"
0,0,"a"
1,0.220806665861611,"b"
0,0,"c"
0,0,"a"
0,0,"b"
1,0.152095157589663,"c"
5,0,"a"
1,0.104818258664413,"b"
4,0,"c"
0,0,"a"
0,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
6,0.436843376403816,"b"
6,0,"c"
2,0,"a"
2,0.254860524091293,"b"
0,0,"c"
0,0,"a"
0,0.151249849052047,"b"
0,0,"c"
0,0,"a"
0,0.151249849052047,"b"
0,0,"c"
0,0,"a"
0,0.0109286318077526,"b"
0,0,"c"
0,0,"a"
0,0.0746890472165197,"b"
0,0,"c"
0,0,"a"
0,0.063760415408767,"b"
0,0,"c"
0,0,"a"
1,0,"b"
0,0,"c"
0,0,"a"
0,0.021796884434247,"b"
0,0,"c"
0,0,"a"
0,0.13265306122449,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0,"c"
0,0,"a"
0,0.113573239946866,"b"
0,0,"c"
0,0,"a"
0,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
10,0.20414201183432,"b"
0,0,"c"
0,0,"a"
6,0.530129211447893,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0,"c"
0,0,"a"
1,0,"b"
0,0,"c"
0,0,"a"
1,0.330394879845429,"b"
1,0.0109286318077526,"c"
0,0,"a"
0,0,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0,"c"
2,0,"a"
0,0.113573239946866,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0,"c"
0,0,"a"
8,0.063760415408767,"b"
1,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0.0217365052529888,"c"
0,0,"a"
0,0.162721893491124,"b"
0,0.0217365052529888,"c"
0,0,"a"
4,0.179265789155899,"b"
0,0.0217365052529888,"c"
0,0,"a"
0,0.408585919574931,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0.0109286318077526,"c"
0,0,"a"
0,0.260355029585799,"b"
0,0,"c"
7,0,"a"
8,0.284446322907861,"b"
2,0.0534355754135973,"c"
1,0,"a"
0,0.0324236203357084,"b"
0,0.0217365052529888,"c"
0,0.0948556937567927,"a"
1,0.481644728897476,"b"
0,0.0324236203357084,"c"
0,0.0109286318077526,"a"
0,0.386668276778167,"b"
0,0.489795918367347,"c"
0,0,"a"
0,0.430201666465403,"b"
0,0,"c"
0,0,"a"
0,0.0217365052529888,"b"
0,0.0534355754135973,"c"
0,0.0324236203357084,"a"
0,0,"b"
0,0,"c"
0,0,"a"
0,0.0429899770559112,"b"
0,0.123173529766936,"c"
0,0,"a"
0,0.0953991063881174,"b"
4,0.0109286318077526,"c"
5,0,"a"
6,0.491909189711388,"b"
0,0.021796884434247,"c"
0,0.0109286318077526,"a"
0,0.0745682888540031,"b"
0,0,"c"
0,0.0109286318077526,"a"
0,0.233788189832146,"b"
1,0,"c"
0,0,"a"
0,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
0,0.063760415408767,"b"
0,0,"c"
0,0,"a"
0,0.196775751720807,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0.0324236203357084,"c"
0,0,"a"
5,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0,"c"
0,0,"a"
0,0.0431711145996861,"b"
0,0,"c"
0,0,"a"
5,0.252686873565994,"b"
0,0,"c"
0,0.0109286318077526,"a"
11,0.20414201183432,"b"
0,0,"c"
0,0,"a"
1,0.063760415408767,"b"
0,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0,"c"
0,0,"a"
2,0.0217365052529888,"b"
0,0,"c"
0,0,"a"
0,0.0840478203115564,"b"
4,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0,"c"
0,0,"a"
0,0.0940103852191765,"b"
0,0,"c"
0,0,"a"
0,0.10385219176428,"b"
0,0,"c"
0,0,"a"
0,0,"b"
0,0,"c"
0,0,"a"
4,0.491305397898804,"b"
0,0,"c"
0,0,"a"
1,0.0429899770559112,"b"
0,0,"c"
0,0,"a"
0,0.0109286318077526,"b"
0,0,"c"
0,0.0109286318077526,"a"
4,0.44167371090448,"b"
0,0,"c"
0,0,"a"
0,0.0324236203357084,"b"
0,0,"c"
0,0,"a"
10,0.0217365052529888,"b"
