"serogroup","abundance","closest","close_abund","close_dist","jm","pb"
"OND",6780,"O2D",13313,1,TRUE,TRUE
"O9B",7354,"O30",68,1,TRUE,TRUE
"O98",55,"id0014427",29,14,TRUE,TRUE
"O91E",176,"O159",245,3,TRUE,TRUE
"O91D",441,"O113",682,7,TRUE,TRUE
"O84",140,"id0017881",36,3,TRUE,TRUE
"O70A",520,"O90A",17822,3,TRUE,TRUE
"O6F",755,"O156C",65,4,TRUE,TRUE
"O66",44,"O36",146,4,TRUE,TRUE
"O57",944,"O149B",644,7,TRUE,TRUE
"O56",12,"O119A",84,4,TRUE,TRUE
"O55A",1217,"O121B",2307,1,TRUE,TRUE
"O53A",15,"id0001814",13,5,TRUE,TRUE
"O51B",74,"O30",68,1,TRUE,TRUE
"O46B",409,"id0017737",52,1,TRUE,TRUE
"O45B",17584,"id0017529",51,1,TRUE,TRUE
"O32",2403,"id0001814",13,1,TRUE,TRUE
"O30",68,"O9B",7354,1,TRUE,FALSE
"O2D",13313,"OND",6780,1,TRUE,FALSE
"O26C",612,"O123B",93,5,TRUE,TRUE
"O187",13,"id0028740",15,1,TRUE,TRUE
"O176A",6527,"O17",9432,1,TRUE,TRUE
"O17",9432,"O176A",6527,1,TRUE,FALSE
"O160",639,"id0001049",18,3,TRUE,TRUE
"O15B",692,"O8A",85,8,TRUE,TRUE
"O159",245,"O91E",176,3,TRUE,TRUE
"O157D",2660,"id0013297",18,1,TRUE,TRUE
"O156C",65,"O70A",520,3,TRUE,TRUE
"O153C",77,"O15",158,8,TRUE,TRUE
"O149B",644,"O71A",717,4,TRUE,TRUE
"O146B",27,"id0025790",12,5,TRUE,TRUE
"O14",189,"id0035009",311,6,TRUE,TRUE
"O139B",18,"id0011511",114,4,TRUE,TRUE
"O130B",10,"id0024924",2326,7,TRUE,TRUE
"O126A",33,"id0023661",24,6,TRUE,TRUE
"O123A",16158,"id0026225",65,1,TRUE,TRUE
"O119A",84,"O56",12,4,TRUE,TRUE
"O115B",42,"id0026225",65,2,TRUE,TRUE
"O38B",84,"id0016527",1655,1,TRUE,TRUE
"O113",682,"O91D",441,7,TRUE,TRUE
"O111",53,"id0021508",59,38,TRUE,TRUE
"O11",253,"id0031642",57,6,TRUE,TRUE
"O109C",2520,"O15",158,2,TRUE,TRUE
"O107",115,"O123B",93,5,TRUE,TRUE
"O103B",1024,"O43",294,6,TRUE,TRUE
"O100",22,"O153C",77,35,TRUE,TRUE
"O145B",815,"O145A",30,1,TRUE,FALSE
"id0037326",10,"id0024826",2139,1,FALSE,FALSE
"id0035572",10,"O45B",17584,1,FALSE,FALSE
"id0035297",10,"O153A",22823,1,FALSE,FALSE
"id0035077",10,"O30",68,3,TRUE,TRUE
"id0034773",10,"O90A",17822,1,FALSE,FALSE
"id0026600",10,"O90A",17822,1,FALSE,FALSE
"id0022161",10,"O153A",22823,1,FALSE,FALSE
"id0021026",10,"O2D",13313,1,FALSE,TRUE
"id0020204",10,"id0021813",14141,1,FALSE,TRUE
"id0016832",10,"id0019251",9143,1,FALSE,TRUE
"id0016773",10,"O90A",17822,1,FALSE,FALSE
