clustValue	serogroup	seqLength	ClusterNum	repSequence	reads15thou	mostAbundant
0.996	O84	284	0	1	140	y
0.996	O6F	284	1	1	755	y
0.996	O22A	284	2	1	18	y
0.996	O160	284	3	1	639	y
0.996	O91E	284	4	1	176	y
0.996	O15B	284	5	1	692	y
0.996	O55A	284	6	1	1217	n
0.996	O121B	284	6	0	2307	y
0.996	O9B	284	7	1	7354	y
0.996	O30	284	7	0	68	n
0.996	id0002649	284	7	0	18	n
0.996	id0008645	284	7	0	19	n
0.996	id0011090	284	7	0	11	n
0.996	id0023834	284	7	0	12	n
0.996	id0027368	284	7	0	30	n
0.996	id0032566	284	7	0	20	n
0.996	O3	284	8	1	45	n
0.996	O43	284	8	0	294	y
0.996	O100	284	9	1	22	y
0.996	O51B	284	10	1	74	y
0.996	O176A	284	11	1	6527	n
0.996	O17	284	11	0	9432	y
0.996	id0021264	284	11	0	19	n
0.996	id0023006	284	11	0	11	n
0.996	id0027751	284	11	0	15	n
0.996	id0027916	284	11	0	12	n
0.996	id0030274	284	11	0	60	n
0.996	id0034733	284	11	0	30	n
0.996	id0035488	284	11	0	12	n
0.996	id0038540	284	11	0	20	n
0.996	id0039231	284	11	0	12	n
0.996	O123A	284	12	1	16158	y
0.996	id0000512	284	12	0	19	n
0.996	id0003421	284	12	0	11	n
0.996	id0005773	284	12	0	18	n
0.996	id0007568	284	12	0	19	n
0.996	id0011034	284	12	0	13	n
0.996	id0011521	284	12	0	20	n
0.996	id0011646	284	12	0	10	n
0.996	id0015622	284	12	0	11	n
0.996	id0017342	284	12	0	16	n
0.996	id0017881	284	12	0	36	n
0.996	id0018171	284	12	0	19	n
0.996	id0018361	284	12	0	13	n
0.996	id0019626	284	12	0	11	n
0.996	id0020808	284	12	0	19	n
0.996	id0022171	284	12	0	29	n
0.996	id0026225	284	12	0	65	n
0.996	id0026616	284	12	0	12	n
0.996	id0028221	284	12	0	19	n
0.996	id0030390	284	12	0	17	n
0.996	id0032649	284	12	0	28	n
0.996	id0035419	284	12	0	46	n
0.996	id0035626	284	12	0	17	n
0.996	id0037784	284	12	0	22	n
0.996	id0039027	284	12	0	31	n
0.996	id0039110	284	12	0	47	n
0.996	id0039208	284	12	0	16	n
0.996	O13	284	13	1	222	y
0.996	id0036185	284	13	0	61	n
0.996	O45B	284	14	1	17584	y
0.996	id0001326	284	14	0	18	n
0.996	id0002675	284	14	0	19	n
